sku,invoice_number,invoice_date_parsed,item_number,item_title,category,qty,bid_amount,msrp,bid_to_msrp_ratio,discount_pct,line_cost,projected_sale_price_per_unit,projected_revenue,projected_profit
SKU0318,081424-3501-184550,2024-08-14,212,Lyndel Modern 3 Foot Faux Fur Bean Bag Chair Cover,Furniture,1.0,12.0,,,,12.0,18.0,18.0,6.0
SKU0319,081424-3501-184550,2024-08-14,217,Depuley 4-Lights Chandelier,Lighting & Electrical,1.0,13.0,,,,13.0,19.5,19.5,6.5
SKU0290,081424-3501-184550,2024-08-14,222,Black Wall Mounted Mirror,Home Decor,1.0,6.0,,,,6.0,9.0,9.0,3.0
SKU0320,081424-3501-184550,2024-08-14,230,Pet Door,Pet Supplies,1.0,7.0,,,,7.0,10.5,10.5,3.5
SKU0321,081424-3501-184550,2024-08-14,234,Large Mouse Pad,Miscellaneous,1.0,6.0,,,,6.0,9.0,9.0,3.0
SKU0322,081424-3501-184550,2024-08-14,239,Siersoe Wall Mirror,Home Decor,1.0,5.0,,,,5.0,7.5,7.5,2.5
SKU0323,081424-3501-184550,2024-08-14,242,"Rear Bike Rack Cargo Rack, Easy Installation",Miscellaneous,1.0,5.0,,,,5.0,7.5,7.5,2.5
SKU0324,081424-3501-184550,2024-08-14,246,Floor Mats & Cargo Liner for 2024 2025 Lincoln Nautilus All,Automotive,1.0,5.0,169.0,0.029585798816568046,0.9704142011834319,5.0,118.3,118.3,113.3
SKU0302,081424-3501-184550,2024-08-14,5,"FunStick 36"" x 200"" Charcoal Black Contact Paper Solid Black",Miscellaneous,1.0,8.0,57.98,0.1379786133149362,0.8620213866850638,8.0,40.586,40.586,32.586
SKU0303,081424-3501-184550,2024-08-14,98,Set of 4 Hub Caps,Miscellaneous,1.0,4.0,,,,4.0,6.0,6.0,2.0
SKU0280,081624-3501-184997,2024-08-16,270,"Panana Trolley Folding Cart Heavy Duty Hand Truck, Dolly",Miscellaneous,1.0,29.25,54.99,0.5319148936170213,0.46808510638297873,29.25,38.493,38.493,9.243000000000002
SKU0281,081624-3501-184997,2024-08-16,278,Beams MB3000 High Performance 500 Lumen Wireless,Miscellaneous,1.0,10.75,39.99,0.26881720430107525,0.7311827956989247,10.75,27.993,27.993,17.243
SKU0282,081624-3501-184997,2024-08-16,301,Long LED Light Bar,Lighting & Electrical,1.0,30.01,,,,30.01,45.015,45.015,15.004999999999999
SKU0283,081624-3501-184997,2024-08-16,311,SHINHYE Tent,Miscellaneous,1.0,10.76,,,,10.76,16.14,16.14,5.380000000000001
SKU0284,081624-3501-184997,2024-08-16,312,"LazBlinds Cordless Roller Shades 45""Wx72""H Beige",Window Treatments,1.0,2.0,53.99,0.03704389701796629,0.9629561029820337,2.0,37.793,37.793,35.793
SKU0285,081624-3501-184997,2024-08-16,370,Privacy Fence Screen Modern & Modular,Miscellaneous,1.0,10.0,,,,10.0,15.0,15.0,5.0
SKU0286,081624-3501-184997,2024-08-16,393,"Golden Lighting 3602-14 AB-WH Duncan Flush Mount, Aged",Lighting & Electrical,1.0,5.0,99.0,0.050505050505050504,0.9494949494949495,5.0,69.3,69.3,64.3
